date,value
01-01-2014,29542
02-01-2014,29975
03-01-2014,29727
04-01-2014,29279
06-01-2014,29119
07-01-2014,28959
08-01-2014,28934
09-01-2014,28997
10-01-2014,29169
13-01-2014,29312
14-01-2014,29198
15-01-2014,29150
16-01-2014,29168
17-01-2014,29385
20-01-2014,29414
21-01-2014,29362
22-01-2014,29269
23-01-2014,29394
24-01-2014,29574
27-01-2014,29905
28-01-2014,29628
29-01-2014,29835
30-01-2014,29499
31-01-2014,29482
03-02-2014,29789
04-02-2014,29534
05-02-2014,29719
06-02-2014,29231
07-02-2014,29310
10-02-2014,29471
11-02-2014,29670
12-02-2014,29698
13-02-2014,29726
14-02-2014,29932
17-02-2014,30664
18-02-2014,30766
19-02-2014,30712
20-02-2014,30608
21-02-2014,30677
24-02-2014,30927
25-02-2014,30972
26-02-2014,30810
27-02-2014,30839
28-02-2014,30634
03-03-2014,32051
04-03-2014,31126
05-03-2014,32351
06-03-2014,30416
07-03-2014,30307
10-03-2014,30327
11-03-2014,30421
12-03-2014,30627
13-03-2014,30697
14-03-2014,30719
17-03-2014,30557
18-03-2014,30389
19-03-2014,30169
20-03-2014,29924
21-03-2014,29850
24-03-2014,29182
25-03-2014,28971
26-03-2014,28595
27-03-2014,28521
28-03-2014,28434
31-03-2014,28470
01-04-2014,28116
02-04-2014,28404
03-04-2014,28460
04-04-2014,28519
05-04-2014,28549
07-04-2014,28574
08-04-2014,28754
09-04-2014,28710
10-04-2014,29094
11-04-2014,29085
14-04-2014,29350
15-04-2014,29342
16-04-2014,29290
17-04-2014,29293
19-04-2014,29339
21-04-2014,29548
22-04-2014,29423
23-04-2014,29752
25-04-2014,29741
27-04-2014,29695
28-04-2014,29824
29-04-2014,29713
30-04-2014,31014
01-05-2014,30380
02-05-2014,30182
05-05-2014,29967
06-05-2014,29109
07-05-2014,28747
08-05-2014,28734
09-05-2014,28741
12-05-2014,28860
13-05-2014,28673
14-05-2014,28911
15-05-2014,28624
16-05-2014,28322
19-05-2014,28336
20-05-2014,28424
21-05-2014,27501
22-05-2014,27386
23-05-2014,27528
26-05-2014,27586
27-05-2014,27087
28-05-2014,26987
29-05-2014,26984
30-05-2014,27151
02-06-2014,26626
03-06-2014,26732
